"","V1","V2","V3","V4"
"subst","0.00819557444308535","0.00819557444308535","0.00819557444308535","0.00819557444308535"
"causalforest","0.00917530737153831","0.00917530737153831","0.00917530737153831","0.00917530737153831"
"cateonestep_oracle","0.00169297435778719","0.00240318268503206","0.0729040494850823","0.0110983238606072"
"cateonestep","0.00171173509047653","0.00240046775525052","0.0796223642932091","0.0117682369972761"
"cateplugin_adaptive","0.00169966662975848","0.0106010870642776","0.0156241061808747","0.010927387805829"
"cateplugin_oracle","0.000782329553613564","0.000893376475967548","0.0063003174850912","0.00565314514593855"
"lrnr","Lrnr_glm_TRUE_","Lrnr_gam_NULL_NULL_GCV.Cp_","Lrnr_xgboost_20_1_4_","Lrnr_hal9001_1_1_10_1e-10_"
"n","1000","1000","1000","1000"
