"","subst","RRIPW_oracle","RRIPW","RRplugin","lrnr","n"
"1",1.06510822374433,1.85990861984917,1.84910342040528,1.8196924160245,"Lrnr_glm_TRUE_",250
"2",1.06510822374433,1.93856926411165,1.9308656668355,1.83625099300757,"Lrnr_earth_2_3_backward_0_1_0_0_",250
"3",1.06510822374433,2.45532082280524,2.45532082280524,1.83028934507324,"Lrnr_gam_NULL_GCV.Cp_",250
"4",1.06510822374433,2.36978780621755,2.36518992057253,2.34617659066137,"Lrnr_xgboost_1_1_3_1_",250
"5",1.06510822374433,2.0245994817298,2.01624459150228,1.96750819805855,"Lrnr_xgboost_1_1_5_0.8_1_100_reg:logistic_0.8_",250
"6",1.06510822374433,1.91605754153463,1.90523647947366,1.84035076847939,"Lrnr_xgboost_20_1_3_reg:logistic_",250
"7",1.06510822374433,1.93681212396569,1.92818074206133,1.84131463914906,"Lrnr_xgboost_20_1_4_reg:logistic_",250
"8",1.06510822374433,1.94287077885915,1.9354451513994,1.84178685289893,"Lrnr_xgboost_20_1_5_reg:logistic_",250
"9",0.373451594561441,1.85627982888586,1.85392852389808,1.83677002691552,"Lrnr_glm_TRUE_",500
"10",0.373451594561441,1.91353247438298,1.90556430626863,1.8509304600269,"Lrnr_earth_2_3_backward_0_1_0_0_",500
"11",0.373451594561441,2.43748469120678,2.43748469120678,1.85774523078912,"Lrnr_gam_NULL_GCV.Cp_",500
"12",0.373451594561441,2.36009352194727,2.359912956117,2.34433620119861,"Lrnr_xgboost_1_1_3_1_",500
"13",0.373451594561441,2.00942199905269,2.00553692007385,1.95638834680656,"Lrnr_xgboost_1_1_5_0.8_1_100_reg:logistic_0.8_",500
"14",0.373451594561441,1.91045813478059,1.90906145046459,1.86042565338391,"Lrnr_xgboost_20_1_3_reg:logistic_",500
"15",0.373451594561441,1.9345485395466,1.9315512547074,1.86300327462847,"Lrnr_xgboost_20_1_4_reg:logistic_",500
"16",0.373451594561441,1.93953604710129,1.93886897153969,1.86211841059333,"Lrnr_xgboost_20_1_5_reg:logistic_",500
"17",0.188844235242559,1.86488508609108,1.86402585047739,1.85289800561091,"Lrnr_glm_TRUE_",750
"18",0.188844235242559,1.90811119501926,1.90321586016366,1.85780765544662,"Lrnr_earth_2_3_backward_0_1_0_0_",750
"19",0.188844235242559,2.44698388377567,2.44698388377567,1.86030266231541,"Lrnr_gam_NULL_GCV.Cp_",750
"20",0.188844235242559,2.36786246335997,2.36720371263359,2.35570719519668,"Lrnr_xgboost_1_1_3_1_",750
"21",0.188844235242559,2.000917901642,1.99869458992909,1.95511053533911,"Lrnr_xgboost_1_1_5_0.8_1_100_reg:logistic_0.8_",750
"22",0.188844235242559,1.90180921367469,1.89939539507313,1.86398072534864,"Lrnr_xgboost_20_1_3_reg:logistic_",750
"23",0.188844235242559,1.92065152516362,1.91796733791837,1.86441120931187,"Lrnr_xgboost_20_1_4_reg:logistic_",750
"24",0.188844235242559,1.92700127340307,1.92448594548129,1.86442936743215,"Lrnr_xgboost_20_1_5_reg:logistic_",750
"25",0.149541874355239,1.87749487259482,1.87241280343001,1.86104597249316,"Lrnr_glm_TRUE_",1000
"26",0.149541874355239,1.90827417440326,1.90269986910629,1.87212318212588,"Lrnr_earth_2_3_backward_0_1_0_0_",1000
"27",0.149541874355239,2.45583803562864,2.45583803562864,1.87465456476607,"Lrnr_gam_NULL_GCV.Cp_",1000
"28",0.149541874355239,2.37411645353929,2.37338056209391,2.36417689897573,"Lrnr_xgboost_1_1_3_1_",1000
"29",0.149541874355239,2.00465279007814,1.99935981077458,1.96402476408633,"Lrnr_xgboost_1_1_5_0.8_1_100_reg:logistic_0.8_",1000
"30",0.149541874355239,1.91182263468729,1.90716694871598,1.87687811155801,"Lrnr_xgboost_20_1_3_reg:logistic_",1000
"31",0.149541874355239,1.92874943750739,1.92424247730279,1.87755727102565,"Lrnr_xgboost_20_1_4_reg:logistic_",1000
"32",0.149541874355239,1.93580323262612,1.93157013691761,1.87787159629236,"Lrnr_xgboost_20_1_5_reg:logistic_",1000
"33",0.0326225828482563,1.87478014532626,1.87316970653763,1.87050711367897,"Lrnr_glm_TRUE_",5000
"34",0.0326225828482563,1.87879097661682,1.87692943021289,1.87318135027351,"Lrnr_earth_2_3_backward_0_1_0_0_",5000
"35",0.0326225828482563,2.45033707734745,2.45033707734745,1.87392432848551,"Lrnr_gam_NULL_GCV.Cp_",5000
"36",0.0326225828482563,2.36768489403856,2.36744563311126,2.3635286975253,"Lrnr_xgboost_1_1_3_1_",5000
"37",0.0326225828482563,1.96395309730183,1.96284814972322,1.94956676355225,"Lrnr_xgboost_1_1_5_0.8_1_100_reg:logistic_0.8_",5000
"38",0.0326225828482563,1.88618339782768,1.884775551014,1.87559263801856,"Lrnr_xgboost_20_1_3_reg:logistic_",5000
"39",0.0326225828482563,1.8906622570731,1.88935273812977,1.8763250845877,"Lrnr_xgboost_20_1_4_reg:logistic_",5000
"40",0.0326225828482563,1.89310337666844,1.89231123888577,1.87564723700589,"Lrnr_xgboost_20_1_5_reg:logistic_",5000
"41",0.0175044043005815,1.85870865382206,1.85988606072759,1.8584350253187,"Lrnr_glm_TRUE_",10000
"42",0.0175044043005815,1.85782797043592,1.85876326493107,1.85919267927904,"Lrnr_earth_2_3_backward_0_1_0_0_",10000
"43",0.0175044043005815,2.44012263911222,2.44012263911222,1.86070165552481,"Lrnr_gam_NULL_GCV.Cp_",10000
"44",0.0175044043005815,2.35613921450449,2.35640550139425,2.35340405968084,"Lrnr_xgboost_1_1_3_1_",10000
"45",0.0175044043005815,1.94243814304755,1.94307199638356,1.93604235890306,"Lrnr_xgboost_1_1_5_0.8_1_100_reg:logistic_0.8_",10000
"46",0.0175044043005815,1.86702449816965,1.86764294025691,1.86234625908524,"Lrnr_xgboost_20_1_3_reg:logistic_",10000
"47",0.0175044043005815,1.86962053147865,1.8706014785831,1.86268844813281,"Lrnr_xgboost_20_1_4_reg:logistic_",10000
"48",0.0175044043005815,1.87062077452328,1.87176026627964,1.86229898133163,"Lrnr_xgboost_20_1_5_reg:logistic_",10000
