"","subst","causalforest","cateonestep_oracle","cateonestep","cateplugin","lrnr","n"
"1",0.120366469235126,0.452400740341846,0.510132380671693,1.75405534157112,0.517118854418812,"Lrnr_glm_TRUE_",100
"2",0.120366469235126,0.452400740341846,0.123988662143125,6.38075107887027,0.0959689002500626,"Lrnr_earth_2_3_backward_0_1_0_0_",100
"3",0.120366469235126,0.452400740341846,0.0789662597028364,3.9943577798489,0.0907961364837077,"Lrnr_gam_NULL_NULL_GCV.Cp_",100
"4",0.120366469235126,0.452400740341846,0.194947832951919,5.52503684429677,0.117216821891126,"Lrnr_rpart_FALSE_FALSE_FALSE_",100
"5",0.120366469235126,0.452400740341846,0.381742598930531,14.0461059973665,0.0985782976106927,"Lrnr_ranger_500_TRUE_none_1_",100
"6",0.120366469235126,0.452400740341846,0.312968742685966,28.5940705589514,0.102783290165724,"Lrnr_xgboost_20_1_3_",100
"7",0.120366469235126,0.452400740341846,0.44379845609058,28.835036637357,0.107177227958355,"Lrnr_xgboost_20_1_4_",100
"8",0.120366469235126,0.452400740341846,0.571021455557046,29.0342777175711,0.110184705550201,"Lrnr_xgboost_20_1_5_",100
"9",0.0438299136012217,0.14879470498722,0.503950608022751,0.524484121407042,0.50510563133641,"Lrnr_glm_TRUE_",250
"10",0.0438299136012217,0.14879470498722,0.0627585321934007,0.827600304830977,0.0425812502591225,"Lrnr_earth_2_3_backward_0_1_0_0_",250
"11",0.0438299136012217,0.14879470498722,0.0334190306970753,0.228331587099284,0.0370880961817431,"Lrnr_gam_NULL_NULL_GCV.Cp_",250
"12",0.0438299136012217,0.14879470498722,0.135207883498956,0.355917529523433,0.0637340019264093,"Lrnr_rpart_FALSE_FALSE_FALSE_",250
"13",0.0438299136012217,0.14879470498722,0.37316274189316,1.02461896891796,0.0393434948629596,"Lrnr_ranger_500_TRUE_none_1_",250
"14",0.0438299136012217,0.14879470498722,0.158860715988825,1.45759750701758,0.0394719975033216,"Lrnr_xgboost_20_1_3_",250
"15",0.0438299136012217,0.14879470498722,0.236049744013285,1.55354310123232,0.0399487469780438,"Lrnr_xgboost_20_1_4_",250
"16",0.0438299136012217,0.14879470498722,0.322266050871173,1.65706983281456,0.0403982378643078,"Lrnr_xgboost_20_1_5_",250
"17",0.0215706035593575,0.0353264796038406,0.505288230104256,0.506368818027349,0.505815205653574,"Lrnr_glm_TRUE_",500
"18",0.0215706035593575,0.0353264796038406,0.0366206492957102,0.0503173567740487,0.0249137672080025,"Lrnr_earth_2_3_backward_0_1_0_0_",500
"19",0.0215706035593575,0.0353264796038406,0.0177267956387031,0.0223708808112231,0.018761226889155,"Lrnr_gam_NULL_NULL_GCV.Cp_",500
"20",0.0215706035593575,0.0353264796038406,0.0815103659425438,0.0908519229951508,0.0472048796009541,"Lrnr_rpart_FALSE_FALSE_FALSE_",500
"21",0.0215706035593575,0.0353264796038406,0.367570275756284,0.415536606395007,0.0198974387758779,"Lrnr_ranger_500_TRUE_none_1_",500
"22",0.0215706035593575,0.0353264796038406,0.0915356618141221,0.148717791836191,0.0203937210407617,"Lrnr_xgboost_20_1_3_",500
"23",0.0215706035593575,0.0353264796038406,0.136797487900415,0.199687900064443,0.0198469580748119,"Lrnr_xgboost_20_1_4_",500
"24",0.0215706035593575,0.0353264796038406,0.193197611079261,0.260592562327722,0.0200127767558677,"Lrnr_xgboost_20_1_5_",500
"25",0.0151039340717133,0.0181138093744713,0.500725552012788,0.500967773921426,0.50098166482061,"Lrnr_glm_TRUE_",750
"26",0.0151039340717133,0.0181138093744713,0.0292009248580207,0.0309066426884302,0.0199597312513951,"Lrnr_earth_2_3_backward_0_1_0_0_",750
"27",0.0151039340717133,0.0181138093744713,0.0129823471336586,0.0140025193727879,0.0133874588203177,"Lrnr_gam_NULL_NULL_GCV.Cp_",750
"28",0.0151039340717133,0.0181138093744713,0.0669920925014763,0.0733798183788773,0.0409423274989022,"Lrnr_rpart_FALSE_FALSE_FALSE_",750
"29",0.0151039340717133,0.0181138093744713,0.376836432276019,0.404890781455052,0.0140223789458192,"Lrnr_ranger_500_TRUE_none_1_",750
"30",0.0151039340717133,0.0181138093744713,0.0661150001287841,0.0838675238129159,0.014616057019837,"Lrnr_xgboost_20_1_3_",750
"31",0.0151039340717133,0.0181138093744713,0.100294086991129,0.125823397991128,0.0139157850652737,"Lrnr_xgboost_20_1_4_",750
"32",0.0151039340717133,0.0181138093744713,0.143481514588957,0.173732023372235,0.0139541686423513,"Lrnr_xgboost_20_1_5_",750
"33",0.011943643358556,0.0139499110685607,0.501181357779788,0.501666688250728,0.501335138042807,"Lrnr_glm_TRUE_",1000
"34",0.011943643358556,0.0139499110685607,0.0236724338578768,0.0359941745363498,0.0171738245265605,"Lrnr_earth_2_3_backward_0_1_0_0_",1000
"35",0.011943643358556,0.0139499110685607,0.0102265546670877,0.0126718731274121,0.0106590344410387,"Lrnr_gam_NULL_NULL_GCV.Cp_",1000
"36",0.011943643358556,0.0139499110685607,0.0645523398350288,0.0751552044316645,0.0396214878007349,"Lrnr_rpart_FALSE_FALSE_FALSE_",1000
"37",0.011943643358556,0.0139499110685607,0.373840370504133,0.408033134268405,0.0112153291385888,"Lrnr_ranger_500_TRUE_none_1_",1000
"38",0.011943643358556,0.0139499110685607,0.0525463235885178,0.109229763155596,0.0117194411672527,"Lrnr_xgboost_20_1_3_",1000
"39",0.011943643358556,0.0139499110685607,0.0795369805645702,0.137767739615501,0.0111166018611325,"Lrnr_xgboost_20_1_4_",1000
"40",0.011943643358556,0.0139499110685607,0.114976183549321,0.17462515099639,0.0111740570029626,"Lrnr_xgboost_20_1_5_",1000
"41",0.00286012875227132,0.00977475846360983,0.501167873734398,0.501202927594708,0.501159280960147,"Lrnr_glm_TRUE_",5000
"42",0.00286012875227132,0.00977475846360983,0.0119579046495453,0.018679453889509,0.0108278315014019,"Lrnr_earth_2_3_backward_0_1_0_0_",5000
"43",0.00286012875227132,0.00977475846360983,0.00230918115258212,0.00260240393505743,0.00264076544037716,"Lrnr_gam_NULL_NULL_GCV.Cp_",5000
"44",0.00286012875227132,0.00977475846360983,0.0525290122372337,0.0600751333726106,0.0325450422430306,"Lrnr_rpart_FALSE_FALSE_FALSE_",5000
"45",0.00286012875227132,0.00977475846360983,0.374718889699084,0.404888240684175,0.00273291859146508,"Lrnr_ranger_500_TRUE_none_1_",5000
"46",0.00286012875227132,0.00977475846360983,0.0142885488138622,0.0657096034981228,0.0035165106277217,"Lrnr_xgboost_20_1_3_",5000
"47",0.00286012875227132,0.00977475846360983,0.0213974001885772,0.0732080143740323,0.00286517582522641,"Lrnr_xgboost_20_1_4_",5000
"48",0.00286012875227132,0.00977475846360983,0.0321537429921886,0.0841106575173355,0.00273398011502568,"Lrnr_xgboost_20_1_5_",5000
"49",0.00175198958149008,0.00952669966035056,0.500357975664989,0.500364344264365,0.500364438333794,"Lrnr_glm_TRUE_",10000
